time, angle
22.523, 1.520181778
22.539, 1.51669112
22.556, 1.51669112
22.573, 1.51669112
22.589, 1.514945791
22.606, 1.514945791
22.623, 1.513200461
22.639, 1.513200461
22.656, 1.509709803
22.673, 1.509709803
22.689, 1.511455132
22.706, 1.509709803
22.723, 1.509709803
22.739, 1.511455132
22.756, 1.511455132
22.773, 1.511455132
22.789, 1.513200461
22.806, 1.513200461
22.823, 1.513200461
22.839, 1.513200461
22.856, 1.513200461
22.873, 1.511455132
22.89, 1.506219144
22.906, 1.499237827
22.923, 1.487020523
22.94, 1.452113938
22.956, 1.408480706
22.973, 1.378810109
22.99, 1.32994089
23.006, 1.272345025
23.023, 1.181587904
23.04, 1.110029404
23.056, 1.027998929
23.073, 0.952949772
23.09, 0.856956663
23.106, 0.759218225
23.123, 0.682423738
23.14, 0.593411946
23.156, 0.507890812
23.173, 0.41887902
23.19, 0.335103216
23.207, 0.251327412
23.223, 0.165806279
23.24, 0.078539816
23.257, -0.04712389
23.273, -0.125663706
23.29, -0.216420827
23.307, -0.301941961
23.323, -0.301941961
23.34, -0.472984227
23.357, -0.563741348
23.373, -0.563741348
23.39, -0.743510261
23.407, -0.827286065
23.423, -0.918043187
23.44, -0.996583003
23.457, -1.087340124
23.473, -1.155407965
23.49, -1.219985147
23.507, -1.282817
23.524, -1.335176878
23.54, -1.382300768
23.557, -1.420698011
23.574, -1.450368608
23.59, -1.471312559
23.607, -1.480039206
23.624, -1.480039206
23.64, -1.46956723
23.657, -1.455604596
23.674, -1.420698011
23.69, -1.410226036
23.707, -1.375319451
23.724, -1.32994089
23.74, -1.267109037
23.757, -1.16587994
23.774, -1.101302758
23.79, -1.024508271
23.807, -0.940732467
23.824, -0.851720675
23.84, -0.759218225
23.857, -0.666715774
23.874, -0.577703982
23.891, -0.49043752
23.907, -0.403171057
23.924, -0.315904595
23.941, -0.226892803
23.957, -0.137881011
23.974, -0.050614548
23.991, 0.031415927
24.007, 0.115191731
24.024, 0.202458193
24.041, 0.291469985
24.057, 0.380481777
24.074, 0.46600291
24.091, 0.551524044
24.107, 0.649262482
24.124, 0.738274274
24.141, 0.825540736
24.157, 0.91106187
24.174, 0.986111027
24.191, 1.059414856
24.208, 1.125737368
24.224, 1.183333233
24.241, 1.240929098
24.258, 1.279326342
24.274, 1.314232927
24.291, 1.340412866
24.308, 1.361356817
24.324, 1.371828792
24.341, 1.373574121
24.358, 1.394518072
24.374, 1.384046097
24.391, 1.371828792
24.408, 1.342158195
24.424, 1.300270293
24.441, 1.256637061
24.458, 1.172861257
24.474, 1.118756051
24.491, 1.05068821
24.508, 0.972148393
24.524, 0.893608577
24.541, 0.813323431
24.558, 0.726056969
24.575, 0.640535835
24.591, 0.56025069
24.608, 0.474729557
24.625, 0.390953752
24.641, 0.308923278
